"ID_CARRETA","DESCRICAO_CARRETA","CHASSI_VIN","PLACA","COD_MONTADORA","COD_MODELO","ANO_MODELO","DATA_ENTRADA_SERVICO","EIXOS","COMPRIMENTO","FLAG_REFRIGERADO","COD_CLASSE","CLASSE","IDADE_CLASSE_DE","IDADE_CLASSE_ATE","COD_GRUPO_MANUTENCAO","GRUPO_MANUTENCAO","STATUS_EQUIPAMENTO"
116896589,"53' T/A ST REEFER VAN","1UYVS2537N6501701","V8403E","UTLTY","",2022,2021-02-08T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896591,"53' T/A ST REEFER VAN","1UYVS2539N6501702","V8528E","UTLTY","",2022,2021-02-10T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896593,"53' T/A ST REEFER VAN","1UYVS2530N6501703","V8413E","UTLTY","",2022,2021-02-17T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896595,"53' T/A ST REEFER VAN","1UYVS2532N6501704","V8436E","UTLTY","",2022,2021-02-08T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896597,"53' T/A ST REEFER VAN","1UYVS2534N6501705","V5528F","UTLTY","",2022,2021-03-01T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896599,"53' T/A ST REEFER VAN","1UYVS2536N6501706","V8557E","UTLTY","",2022,2021-02-10T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896601,"53' T/A ST REEFER VAN","1UYVS2538N6501707","V8499E","UTLTY","",2022,2021-02-10T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896603,"53' T/A ST REEFER VAN","1UYVS253XN6501708","V5597F","UTLTY","",2022,2021-03-08T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896605,"53' T/A ST REEFER VAN","1UYVS2531N6501709","V3412L","UTLTY","",2022,2021-03-23T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896607,"53' T/A ST REEFER VAN","1UYVS2538N6501710","V8501E","UTLTY","",2022,2021-02-10T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896609,"53' T/A ST REEFER VAN","1UYVS253XN6501711","V3487J","UTLTY","",2022,2021-03-18T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896611,"53' T/A ST REEFER VAN","1UYVS2531N6501712","V8556E","UTLTY","",2022,2021-02-12T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896613,"53' T/A ST REEFER VAN","1UYVS2533N6501713","V8584E","UTLTY","",2022,2021-02-24T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896615,"53' T/A ST REEFER VAN","1UYVS2535N6501714","V8500F","UTLTY","",2022,2021-02-10T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896617,"53' T/A ST REEFER VAN","1UYVS2537N6501715","V8571E","UTLTY","",2022,2021-02-23T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896619,"53' T/A ST REEFER VAN","1UYVS2539N6501716","V5651F","UTLTY","",2022,2021-03-03T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896621,"53' T/A ST REEFER VAN","1UYVS2530N6501717","V8640E","UTLTY","",2022,2021-02-23T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896623,"53' T/A ST REEFER VAN","1UYVS2532N6501718","V5529F","UTLTY","",2022,2021-03-02T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896625,"53' T/A ST REEFER VAN","1UYVS2534N6501719","V5530F","UTLTY","",2022,2021-02-22T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896627,"53' T/A ST REEFER VAN","1UYVS2530N6501720","V8527E","UTLTY","",2022,2021-02-12T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896629,"53' T/A ST REEFER VAN","1UYVS2532N6501721","V8555E","UTLTY","",2022,2021-02-17T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896631,"53' T/A ST REEFER VAN","1UYVS2534N6501722","V8638E","UTLTY","",2022,2021-02-18T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
116896633,"53' T/A ST REEFER VAN","1UYVS2536N6501723","V5585F","UTLTY","",2022,2021-03-08T00:00:00,2,"53","Y","HIGHWAY","Highway Trailers (Class 1)",0,7,"","","Maintenance Lease"
